R.date,R.date.Nut,SITE,ELEVATION,REPLICATE,R.replicate,SEASON,YEAR,S.date,t.units,BUSCAR,L.FW,L.DW,Ri.FW,Ri.DW,Ro.FW,Ro.DW,BG.FW,BG.DW,T.DW,AG.BG.FW,AG.BG.DW,dens.TOT,SDW,%N.L.DW,d15N.L.DW,%C.L.DW,d13C.L.DW,Bus.Nut,NH4.uM.mean,NO2.uM.mean,NO3.uM.mean,PO4.uM.mean,NH4.uM.q2,NO2.uM.q2,NO3.uM.q2,PO4.uM.q2,Tair.degC.q2,T.d.min.q2,T.d.max.q2,Ed.mol_m2d.q2,siteB,EzSITE.mol_m2d.q2
12/05/2006,NA,CN1,0.4,B,4,SPRING,2006,10/05/2006,5,38849-CN1-B,1477195,202195,1916.4925,96.4925,1776.0525,51.0525,3692545,147545,349.74,0.4,1.37,1275,1159,2.03,3.6,35.18,-11.4,SPRING2006,NA,NA,NA,NA,NA,NA,NA,NA,16.74149167,13.9125,19.6002,52.53626016,37385-CN1,17.56239642
25/05/2006,NA,CN1,0.4,A,5,SPRING,2006,10/05/2006,5,38862-CN1-A,1207.5,135,320,62.5,107.5,12.5,427.5,75,210,2825,1.8,1425,847,2.07,3.5,32.94,-8.5,SPRING2006,NA,NA,NA,NA,NA,NA,NA,NA,16.74149167,13.9125,19.6002,52.53626016,37385-CN1,17.56239642
25/05/2006,NA,CN1,0.4,B,6,SPRING,2006,10/05/2006,5,38862-CN1-B,1597.5,237.5,505,92.5,70,7.5,575,100,337.5,2778,2375,1250,1278,2.3,3.7,31,-9.3,SPRING2006,NA,NA,NA,NA,NA,NA,NA,NA,16.74149167,13.9125,19.6002,52.53626016,37385-CN1,17.56239642
28/06/2006,NA,CN1,0.4,A,1,SUMMER,2006,12/07/2006,6,38896-CN1-A,627.5,105,1050,230,457.5,72.5,1507.5,302.5,407.5,416,347,1350,465,NA,NA,NA,NA,SUMMER2006,6513,0.2175,4.1775,395,6513,0.2175,4.1775,395,21.82252396,18.9935,25269,61.3959781,37448-CN1,20.40947806
28/06/2006,NA,CN1,0.4,B,2,SUMMER,2006,12/07/2006,6,38896-CN1-B,1372.5,180,1262.5,275,667.5,90,1930,365,545,711,493,2350,584,2,3.7,31.5,-9.2,SUMMER2006,6513,0.2175,4.1775,395,6513,0.2175,4.1775,395,21.82252396,18.9935,25269,61.3959781,37448-CN1,20.40947806
13/07/2006,NA,CN1,0.4,A,3,SUMMER,2006,12/07/2006,6,38911-CN1-A,1525,220,1455,355,552.5,82.5,2007.5,437.5,657.5,0.76,503,2125,718,1.8,4,33.7,-8.3,SUMMER2006,6513,0.2175,4.1775,395,6513,0.2175,4.1775,395,21.82252396,18.9935,25269,61.3959781,37448-CN1,20.40947806
13/07/2006,NA,CN1,0.4,B,4,SUMMER,2006,12/07/2006,6,38911-CN1-B,1247.5,170,712.5,170,395,52.5,1107.5,222.5,392.5,1126,764,1950,0.64,2,4.2,30.5,-9.2,SUMMER2006,6513,0.2175,4.1775,395,6513,0.2175,4.1775,395,21.82252396,18.9935,25269,61.3959781,37448-CN1,20.40947806
27/07/2006,NA,CN1,0.4,A,5,SUMMER,2006,12/07/2006,6,38925-CN1-A,1310,162.5,607.5,142.5,167.5,27.5,775,170,332.5,1.69,956,1625,806,1.9,3.9,34.9,-9.5,SUMMER2006,6513,0.2175,4.1775,395,6513,0.2175,4.1775,395,21.82252396,18.9935,25269,61.3959781,37448-CN1,20.40947806
27/07/2006,NA,CN1,0.4,B,6,SUMMER,2006,12/07/2006,6,38925-CN1-B,1180,185,425,97.5,130,52.5,555,150,335,2126,1233,1675,704,2.4,4.2,32.8,-9.9,SUMMER2006,6513,0.2175,4.1775,395,6513,0.2175,4.1775,395,21.82252396,18.9935,25269,61.3959781,37448-CN1,20.40947806
11/10/2006,NA,CN1,0.4,A,1,FALL,2006,23/10/2006,7,39001-CN1-A,645,105505,718.25,191.5975,400.5,71.4225,1118.75,263.02,368525,577,401,2350,274,NA,NA,NA,NA,FALL2006,NA,NA,NA,NA,NA,NA,NA,NA,21.27724063,19042,24.5485,39.57136537,37551-CN1,13.35278487
11/10/2006,NA,CN1,0.4,B,2,FALL,2006,23/10/2006,7,39001-CN1-B,522.85,69.81,519555,120.9075,238.4425,33.24,757.9975,154.1475,223.9575,0.69,453,1225,427,2.2,4,30.9,-9.3,FALL2006,NA,NA,NA,NA,NA,NA,NA,NA,21.27724063,19042,24.5485,39.57136537,37551-CN1,13.35278487
23/10/2006,NA,CN1,0.4,A,3,FALL,2006,23/10/2006,7,39013-CN1-A,180,30,867.5,214.9,297.5,46425,1165,261325,291325,155,115,1050,171,2.33,3.1,36.98,-10.8,FALL2006,NA,NA,NA,NA,NA,NA,NA,NA,21.27724063,19042,24.5485,39.57136537,37551-CN1,13.35278487
23/10/2006,NA,CN1,0.4,B,4,FALL,2006,23/10/2006,7,39013-CN1-B,387.18,61895,1076.9925,264.7125,457.2575,77895,1534.25,342.6075,404.5025,252,181,875,442,2.04,3.3,35.25,-10.5,FALL2006,NA,NA,NA,NA,NA,NA,NA,NA,21.27724063,19042,24.5485,39.57136537,37551-CN1,13.35278487
06/11/2006,NA,CN1,0.4,A,5,FALL,2006,23/10/2006,7,39027-CN1-A,285,50,827.5,197.5,527.5,72.5,1355,270,320,0.21,185,1200,238,2.31,3.3,33.05,-10.5,FALL2006,NA,NA,NA,NA,NA,NA,NA,NA,21.27724063,19042,24.5485,39.57136537,37551-CN1,13.35278487
06/11/2006,NA,CN1,0.4,B,6,FALL,2006,23/10/2006,7,39027-CN1-B,350,57.5,92.5,22.5,120,22.5,212.5,45,102.5,1647,1278,725,483,2.3,4.2,33.5,-9.5,FALL2006,NA,NA,NA,NA,NA,NA,NA,NA,21.27724063,19042,24.5485,39.57136537,37551-CN1,13.35278487
23/01/2007,NA,CN1,0.4,A,1,WINTER,2007,04/02/2007,8,39105-CN1-A,537.5,67.6525,1672.5,363.5,435,56.75,2107.5,420.25,487.9025,255,161,900,597,NA,NA,NA,NA,WINTER2007,NA,NA,NA,NA,NA,NA,NA,NA,12.46135,9.8103,15.1307,22.86032576,37655-CN1,7.350168911
23/01/2007,NA,CN1,0.4,B,2,WINTER,2007,04/02/2007,8,39105-CN1-B,442.5,56.6675,1450,323.2975,297.5,41.5,1747.5,364.7975,421465,253,155,500,885,NA,NA,NA,NA,WINTER2007,NA,NA,NA,NA,NA,NA,NA,NA,12.46135,9.8103,15.1307,22.86032576,37655-CN1,7.350168911
05/02/2007,05/02/2007,CN1,0.4,A,3,WINTER,2007,04/02/2007,8,39118-CN1-A,427.5,61,1870,409,407.5,57,2277.5,466,527,188,131,975,438,NA,NA,NA,NA,WINTER2007,NA,NA,NA,NA,NA,NA,NA,NA,12.46135,9.8103,15.1307,22.86032576,37655-CN1,7.350168911
05/02/2007,05/02/2007,CN1,0.4,B,4,WINTER,2007,04/02/2007,8,39118-CN1-B,365,61.25,2072.5,395.75,372.5,59.5,2445,455.25,516.5,149,135,850,429,3.63,3.2,31.64,-11.4,WINTER2007,NA,NA,NA,NA,NA,NA,NA,NA,12.46135,9.8103,15.1307,22.86032576,37655-CN1,7.350168911
20/02/2007,20/02/2007,CN1,0.4,A,5,WINTER,2007,04/02/2007,8,39133-CN1-A,411,63,914.5,191.5,302,44.75,1216.5,236.25,299.25,338,267,650,632,NA,NA,NA,NA,WINTER2007,NA,NA,NA,NA,NA,NA,NA,NA,12.46135,9.8103,15.1307,22.86032576,37655-CN1,7.350168911
20/02/2007,20/02/2007,CN1,0.4,B,6,WINTER,2007,04/02/2007,8,39133-CN1-B,206.5,37.75,1782.5,354.75,506.75,70.5,2289.25,425.25,463,0.09,89,1025,201,3.62,3.4,35.96,-11.6,WINTER2007,NA,NA,NA,NA,NA,NA,NA,NA,12.46135,9.8103,15.1307,22.86032576,37655-CN1,7.350168911
16/04/2007,NA,CN1,0.4,A,1,SPRING,2007,02/05/2007,9,39188-CN1-A,360,52605,1432.5,272.9525,195,24405,1627.5,297.3575,349.9625,221,177,2400,0.15,2.39,4.4,32.89,-7.9,SPRING2007,0.78975,0.32625,0.51625,0.2265,0.4155,0.3045,0.46,0.2425,14.301175,11.7649,17.5891,49.09645449,37742-CN1,15.91783297
16/04/2007,NA,CN1,0.4,B,2,SPRING,2007,02/05/2007,9,39188-CN1-B,425,59.7325,1672.5,343025,372.5,45.8525,2045,388.8775,448.61,208,154,2150,198,NA,NA,NA,NA,SPRING2007,0.78975,0.32625,0.51625,0.2265,0.4155,0.3045,0.46,0.2425,14.301175,11.7649,17.5891,49.09645449,37742-CN1,15.91783297
04/05/2007,NA,CN1,0.4,A,3,SPRING,2007,02/05/2007,9,39206-CN1-A,495.25,84.6575,2279,310.25,350.75,36.0525,2629.75,346.3025,430.96,188,244,950,521,2.2,4.6,28.7,-10.3,SPRING2007,0.78975,0.32625,0.51625,0.2265,0.4155,0.3045,0.46,0.2425,14.301175,11.7649,17.5891,49.09645449,37742-CN1,15.91783297
04/05/2007,NA,CN1,0.4,B,4,SPRING,2007,02/05/2007,9,39206-CN1-B,476.3475,71.3975,1241705,271.1575,309.3225,78285,1551.0275,349.4425,420.84,307,204,950,501,1.8,4.5,27.3,-10.1,SPRING2007,0.78975,0.32625,0.51625,0.2265,0.4155,0.3045,0.46,0.2425,14.301175,11.7649,17.5891,49.09645449,37742-CN1,15.91783297
17/05/2007,NA,CN1,0.4,A,5,SPRING,2007,02/05/2007,9,39219-CN1-A,552.5,80.51,1607.5,327895,150,26.67,1757.5,354565,435075,314,227,825,0.67,2.3,4,34.4,-10,SPRING2007,0.78975,0.32625,0.51625,0.2265,0.4155,0.3045,0.46,0.2425,14.301175,11.7649,17.5891,49.09645449,37742-CN1,15.91783297
17/05/2007,NA,CN1,0.4,B,6,SPRING,2007,02/05/2007,9,39219-CN1-B,570,59.61,1942.5,363375,192.5,28.1875,2135,391.5625,451.1725,267,152,450,1267,2.3,4.1,33.3,-10.1,SPRING2007,0.78975,0.32625,0.51625,0.2265,0.4155,0.3045,0.46,0.2425,14.301175,11.7649,17.5891,49.09645449,37742-CN1,15.91783297
18/06/2007,NA,CN1,0.4,A,1,SUMMER,2007,30/06/2007,10,39251-CN1-A,1366.7525,180.26,1554.0725,332935,425.8325,75.1125,1979905,408.0475,588.3075,0.69,442,1300,1051,2.3,3.7,31.8,-9.3,SUMMER2007,1.7185,196,605,0.2475,1.7185,196,605,0.2475,20.23686563,17.2416,23.4639,61.79874254,37801-CN1,20.82629621
18/06/2007,NA,CN1,0.4,B,2,SUMMER,2007,30/06/2007,10,39251-CN1-B,810,154875,1505,299125,197.5,26.3675,1702.5,325.4925,480.3675,476,476,1200,675,NA,NA,NA,NA,SUMMER2007,1.7185,196,605,0.2475,1.7185,196,605,0.2475,20.23686563,17.2416,23.4639,61.79874254,37801-CN1,20.82629621
03/07/2007,NA,CN1,0.4,A,3,SUMMER,2007,30/06/2007,10,39266-CN1-A,510,72.8875,155,33895,80,12.5925,235,46.4875,119375,2.17,1568,1775,287,2.31,3.5,33.72,-9,SUMMER2007,1.7185,196,605,0.2475,1.7185,196,605,0.2475,20.23686563,17.2416,23.4639,61.79874254,37801-CN1,20.82629621
03/07/2007,NA,CN1,0.4,B,4,SUMMER,2007,30/06/2007,10,39266-CN1-B,1267.5,169.33,357.5,87.65,107.5,17.6625,465,105.3125,274.6425,2726,1608,1025,1237,2.08,4.5,27.24,-9.9,SUMMER2007,1.7185,196,605,0.2475,1.7185,196,605,0.2475,20.23686563,17.2416,23.4639,61.79874254,37801-CN1,20.82629621
16/07/2007,NA,CN1,0.4,A,5,SUMMER,2007,30/06/2007,10,39279-CN1-A,1257955,195.01,1231625,316.1475,661355,125.5575,1892.98,441705,636715,665,441,850,1.48,1.66,4.3,31.87,-10.7,SUMMER2007,1.7185,196,605,0.2475,1.7185,196,605,0.2475,20.23686563,17.2416,23.4639,61.79874254,37801-CN1,20.82629621
16/07/2007,NA,CN1,0.4,B,6,SUMMER,2007,30/06/2007,10,39279-CN1-B,2620,346375,1595,415815,426.75,57.0175,2021.75,472.8325,819.2075,1296,733,1100,2382,2.08,3.8,31.06,-10.3,SUMMER2007,1.7185,196,605,0.2475,1.7185,196,605,0.2475,20.23686563,17.2416,23.4639,61.79874254,37801-CN1,20.82629621
27/09/2007,27/09/2007,CN1,0.4,A,1,FALL,2007,14/10/2007,11,39352-CN1-A,741.35,93875,1251275,278285,574.85,70175,1826125,348.46,442335,406,269,1975,375,2.44,3.8,32.78,-11.2,FALL2007,1081,0.9345,3,0.0735,1081,0.9345,3,0.0735,22.11917396,19.7796,25.3905,41.75805171,37907-CN1,12.2009054
27/09/2007,27/09/2007,CN1,0.4,B,2,FALL,2007,14/10/2007,11,39352-CN1-B,987.25,132.4725,1372.5,337.6375,611.5,97.1225,1984,434.76,567.2325,498,305,800,1234,1.8843645,3.9182788,29.9238531,-10.1686822,FALL2007,1081,0.9345,3,0.0735,1081,0.9345,3,0.0735,22.11917396,19.7796,25.3905,41.75805171,37907-CN1,12.2009054
18/10/2007,NA,CN1,0.4,A,3,FALL,2007,14/10/2007,11,39373-CN1-A,531.9825,66.9825,1814.4975,381.9975,604195,81695,2418.6925,463.6925,530675,0.22,144,1075,495,2.3,4.5,28.96,-10.6,FALL2007,1081,0.9345,3,0.0735,1081,0.9345,3,0.0735,22.11917396,19.7796,25.3905,41.75805171,37907-CN1,12.2009054
18/10/2007,NA,CN1,0.4,B,4,FALL,2007,14/10/2007,11,39373-CN1-B,821.6475,116.6475,2102925,105425,366.0075,63.5075,2468.9325,168.9325,285.58,333,0.69,675,1217,2.08,2.7,31.27,-9.9,FALL2007,1081,0.9345,3,0.0735,1081,0.9345,3,0.0735,22.11917396,19.7796,25.3905,41.75805171,37907-CN1,12.2009054
30/10/2007,NA,CN1,0.4,A,5,FALL,2007,14/10/2007,11,39385-CN1-A,945.53,135.53,2089.26,511.76,857.0025,124.5025,2946.2625,636.2625,771.7925,321,213,1400,675,2.19,3,34.05,-10.3,FALL2007,1081,0.9345,3,0.0735,1081,0.9345,3,0.0735,22.11917396,19.7796,25.3905,41.75805171,37907-CN1,12.2009054
30/10/2007,NA,CN1,0.4,B,6,FALL,2007,14/10/2007,11,39385-CN1-B,494.3,66.8,1538.0025,353.0025,689.5675,94.5675,2227.57,447.57,514.37,222,149,1250,395,1.79,3.3,29.82,-9.8,FALL2007,1081,0.9345,3,0.0735,1081,0.9345,3,0.0735,22.11917396,19.7796,25.3905,41.75805171,37907-CN1,12.2009054
09/01/2008,09/01/2008,CN1,0.4,A,1,WINTER,2008,24/01/2008,12,39456-CN1-A,196.5,31.25,1001,218.25,301.75,44.75,1302.75,263,294.25,151,119,850,231,2.01,4.2,35.35,-12.4,WINTER2008,277,272,0.5,42,277,272,0.5,42,13.38719896,11.0352,16.2193,22.16668575,38009-CN1,7.163084112
09/01/2008,09/01/2008,CN1,0.4,B,2,WINTER,2008,24/01/2008,12,39456-CN1-B,206.5,30.5,1576.75,359,318.5,73.75,1895.25,432.75,463.25,109,0.07,800,258,NA,NA,NA,NA,WINTER2008,277,272,0.5,42,277,272,0.5,42,13.38719896,11.0352,16.2193,22.16668575,38009-CN1,7.163084112
24/01/2008,NA,CN1,0.4,A,3,WINTER,2008,24/01/2008,12,39471-CN1-A,167.5,18.5,1208.75,266.5,575.75,76,1784.5,342.5,361,94,54,1325,126,2.01,4,32.24,-9.3,WINTER2008,277,272,0.5,42,277,272,0.5,42,13.38719896,11.0352,16.2193,22.16668575,38009-CN1,7.163084112
24/01/2008,NA,CN1,0.4,B,4,WINTER,2008,24/01/2008,12,39471-CN1-B,317.75,43.25,1419,337,962.75,153.5,2381.75,490.5,533.75,133,88,1350,235,2.46,4.7,35.33,-12.6,WINTER2008,277,272,0.5,42,277,272,0.5,42,13.38719896,11.0352,16.2193,22.16668575,38009-CN1,7.163084112
08/02/2008,NA,CN1,0.4,A,5,WINTER,2008,24/01/2008,12,39486-CN1-A,204.7575,28.2575,1436.4075,106.4075,313195,46.56,1749.6025,152.9675,181225,117,185,625,328,2.19,3.7,36.59,-10,WINTER2008,277,272,0.5,42,277,272,0.5,42,13.38719896,11.0352,16.2193,22.16668575,38009-CN1,7.163084112
08/02/2008,NA,CN1,0.4,B,6,WINTER,2008,24/01/2008,12,39486-CN1-B,224085,42.43,1610.33,338.8175,564.0925,111.2975,2174.4225,450115,492545,103,94,1150,195,2.44,3.1,37.2,-11.4,WINTER2008,277,272,0.5,42,277,272,0.5,42,13.38719896,11.0352,16.2193,22.16668575,38009-CN1,7.163084112
09/04/2008,NA,CN1,0.4,A,1,SPRING,2008,29/04/2008,13,39547-CN1-A,360.4875,56.2,1457.29,306.6825,591.7375,86045,2049.0275,392.7275,448.9275,176,143,1250,288,2.51,4.3,33.52,-8.7,SPRING2008,NA,NA,NA,NA,NA,NA,NA,NA,15.49470104,12.5988,17.9723,50.28303457,38105-CN1,16.94351342
09/04/2008,NA,CN1,0.4,B,2,SPRING,2008,29/04/2008,13,39547-CN1-B,453.77,65.32,1970015,383.0825,436.52,63.34,2406535,446.4225,511.7425,189,146,1550,293,2.22,4.3,33.02,-8.7,SPRING2008,NA,NA,NA,NA,NA,NA,NA,NA,15.49470104,12.5988,17.9723,50.28303457,38105-CN1,16.94351342
21/04/2008,21/04/2008,CN1,0.4,A,3,SPRING,2008,29/04/2008,13,39559-CN1-A,283.5,42.5,1489.25,284.5,254.25,33.5,1743.5,318,360.5,163,134,1200,236,2.1,5.7,28.86,-9.6,SPRING2008,NA,NA,NA,NA,NA,NA,NA,NA,15.49470104,12.5988,17.9723,50.28303457,38105-CN1,16.94351342
21/04/2008,21/04/2008,CN1,0.4,B,4,SPRING,2008,29/04/2008,13,39559-CN1-B,216,32,1399.25,263.75,263.5,35,1662.75,298.75,330.75,0.13,107,800,0.27,2.05,3.3,34.17,-9,SPRING2008,NA,NA,NA,NA,NA,NA,NA,NA,15.49470104,12.5988,17.9723,50.28303457,38105-CN1,16.94351342
05/05/2008,NA,CN1,0.4,A,5,SPRING,2008,29/04/2008,13,39573-CN1-A,568.25,83,1792.25,361.25,309.5,46.5,2101.75,407.75,490.75,0.27,204,800,0.71,2.17,3.9,33.58,-9.8,SPRING2008,NA,NA,NA,NA,NA,NA,NA,NA,15.49470104,12.5988,17.9723,50.28303457,38105-CN1,16.94351342
05/05/2008,NA,CN1,0.4,B,6,SPRING,2008,29/04/2008,13,39573-CN1-B,330575,62325,1237.25,233.25,214.6,41.45,1451.85,274.7,337025,228,227,675,0.49,1.75,3.7,32.57,-10.2,SPRING2008,NA,NA,NA,NA,NA,NA,NA,NA,15.49470104,12.5988,17.9723,50.28303457,38105-CN1,16.94351342
02/07/2008,02/07/2008,CN1,0.4,A,1,SUMMER,2008,16/07/2008,14,39631-CN1-A,917.5,132.5,605,140,212.5,35,817.5,175,307.5,1122,757,1150,798,NA,NA,NA,NA,SUMMER2008,1053,0.76625,0.36725,0.32375,0.9145,0.8475,0.2825,0.2895,23.62853854,19.3316,27.9583,64.87371781,38183-CN1,22.16800192
