SITE;ELEVATION.m;YEAR;SEASON;SST.C;S.date;t.units;R.replicate;LGR;LLRw;TurnR;PI;SDW;NH4.uM.mean;NO2.uM.mean;NO3.uM.mean;PO4.uM.mean;Plant.num;t.d.;L.gross.cm;n;DW_LL
CN1;0.4;2012;FALL;55.749;01/11/2012;28;8;0.5;4.5;0.007;NA;0.0676;0.873;0.444;8.202;0.06;12;29;11;1;0.00247619
CN2;-0.08;2006;SUMMER;72.76;12/07/2006;5;8;8.4;5.7;0.021;15;0.4023;6.513;0.174;4.178;0.395;30;30;129.5;3;0.0019682
CN2;-0.08;2007;SPRING;57.63;02/05/2007;8;8;9.4;1.8;0.014;14;0.6525;0.734;0.283;0.516;0.227;28;28;113.5;3;0.002579051
CN2;-0.08;2008;WINTER;48.163;24/01/2008;11;8;1;NA;0.006;NA;0.1812;0.166;0.229;0.5;0.026;28;29;0;1;0.003156794
CN2;-0.08;2008;SPRING;57.199;29/04/2008;12;8;3.5;2.2;0.011;28;0.3127;1.136;1.022;0.46;0.411;24;28;48;2;0.001862418
CN2;-0.08;2009;FALL;56.643;11/11/2009;18;8;4.9;8;0.011;28;0.4481;0.166;0.167;1.637;0.059;25;28;47.3;2;0.002995321
CN2;-0.08;2012;SUMMER;68.57;19/07/2012;26;8;6.8;4.2;0.017;14.5;0.401;1.336;0.109;2.419;0.026;24;29;97.4;3;0.002009018
CN2;-0.08;2012;FALL;55.749;01/11/2012;27;8;4.7;10.8;0.009;29;0.4992;0.873;0.444;8.202;0.06;24;29;44.8;2;0.003466667
CN3;-0.5;2008;SUMMER;68.568;16/07/2008;14;8;5.9;3.4;0.021;13;0.2766;0.859;0.468;0.23;0.237;35;26;109.2;3;0.001398382
CN3;-0.5;2009;SUMMER;70.875;08/07/2009;18;8;18.1;14.3;0.029;5.6;0.6217;0.166;0.109;0.105;0.026;35;28;197.7;11;0.002552135
CN1;0.4;2006;WINTER;43.916;14/02/2006;4;7;0.7;1.5;0.015;30;0.0465;NA;NA;NA;NA;12;30;10.6;2;0.002113636
CN1;0.4;2006;FALL;57.373;23/10/2006;7;7;2.7;5.6;0.015;26;0.1859;NA;NA;NA;NA;14;26;32.6;2;0.002306452
CN1;0.4;2009;SUMMER;70.875;08/07/2009;18;7;4.8;3.6;0.024;14;0.2031;0.166;0.109;0.105;0.026;15;28;73.5;3;0.001653909
CN1;0.4;2012;WINTER;42.771;07/02/2012;25;7;0.3;0.7;0.013;30;0.0234;0.166;0.109;0.105;0.026;7;30;4.8;2;0.001708029
CN1;0.4;2012;SPRING;57.003;22/05/2012;26;7;0.5;0.5;0.025;9.7;0.0204;0.166;0.109;1.944;0.026;15;29;23.3;4;0.000723404
CN1;0.4;2012;SUMMER;68.57;19/07/2012;27;7;2.7;2.8;0.032;11;0.0855;1.336;0.109;2.419;0.026;8;11;26.8;2;0.001149194
CN1;0.4;2012;FALL;55.749;01/11/2012;28;7;1.3;6.7;0.013;NA;0.1006;0.873;0.444;8.202;0.06;11;29;16.6;1;0.002350467
CN1;0.4;2014;FALL;57.609;23/10/2014;33;7;1.7;2.5;0.017;14.5;0.0999;4.573;0.569;3.919;0.026;13;29;30.9;3;0.001681224
CN2;-0.08;2006;SUMMER;72.76;12/07/2006;5;7;5.7;1.4;0.021;15;0.2674;6.513;0.174;4.178;0.395;29;30;96;2;0.001470847
CN2;-0.08;2006;FALL;57.373;23/10/2006;6;7;4;6;0.013;NA;0.3001;NA;NA;NA;NA;25;27;12;1;0.0024008
CN2;-0.08;2007;WINTER;44.395;04/02/2007;7;7;2.4;4;0.016;32;0.1543;NA;NA;NA;NA;30;32;32;2;0.002939048
CN2;-0.08;2007;SPRING;57.63;02/05/2007;8;7;8.4;4.9;0.018;14;0.4615;0.734;0.283;0.516;0.227;27;28;131;6;0.002301746
CN2;-0.08;2008;WINTER;48.163;24/01/2008;11;7;2.2;0.1;0.01;29;0.2182;0.166;0.229;0.5;0.026;27;29;26.9;2;0.002525463
CN2;-0.08;2008;SPRING;57.199;29/04/2008;12;7;3.5;2.2;0.019;28;0.1866;1.136;1.022;0.46;0.411;23;28;70;2;0.001485669
CN2;-0.08;2009;FALL;56.643;11/11/2009;18;7;2;4.4;0.013;28;0.1554;0.166;0.167;1.637;0.059;22;28;20.1;2;0.002607383
CN2;-0.08;2010;WINTER;48.213;10/02/2010;19;7;1.1;2.3;0.012;28;0.0949;5.737;1.435;24.597;0.026;25;28;15.5;2;0.002766764
CN2;-0.08;2012;SUMMER;68.57;19/07/2012;26;7;6.7;5;0.017;14.5;0.3889;1.336;0.109;2.419;0.026;23;29;87.1;3;0.002217218
CN2;-0.08;2012;FALL;55.749;01/11/2012;27;7;1.5;13.8;0.009;NA;0.16;0.873;0.444;8.202;0.06;23;29;15.7;1;0.003298969
CN3;-0.5;2006;SPRING;60.412;10/05/2006;5;7;10.2;3.5;0.023;9.3;0.438;NA;NA;NA;NA;39;28;141;4;0.002018433
CN3;-0.5;2008;SUMMER;68.568;16/07/2008;14;7;13.3;10;0.019;13;0.686;0.859;0.468;0.23;0.237;33;26;144.2;3;0.002181934
CN3;-0.5;2009;SPRING;58.691;09/05/2009;17;7;3.6;1.9;0.009;31;0.3869;1.663;0.815;0.867;0.026;35;31;49.8;2;0.002228687
CN3;-0.5;2009;SUMMER;70.875;08/07/2009;18;7;19.8;4.9;0.022;9.3;0.8872;0.166;0.109;0.105;0.026;34;28;180.5;4;0.003075217
CN3;-0.5;2011;SUMMER;70.903;01/07/2011;26;7;15.2;16.6;0.022;14.5;0.6776;0.166;0.109;1.653;0.026;35;29;123.8;3;0.002538779
CN3;-0.5;2012;SPRING;57.003;22/05/2012;29;7;7.6;4.4;0.027;9.7;0.2813;0.166;0.109;1.944;0.026;34;29;124.7;7;0.001583005
CN1;0.4;2006;WINTER;43.916;14/02/2006;4;6;0.4;0.1;0.008;30;0.0472;NA;NA;NA;NA;11;30;13.3;2;0.001537459
CN1;0.4;2006;FALL;57.373;23/10/2006;7;6;0.6;1.9;0.008;NA;0.0797;NA;NA;NA;NA;13;26;6;1;0.00144123
CN1;0.4;2008;FALL;50.031;29/10/2008;15;6;4.3;7.3;0.01;30;0.4186;1.525;0.956;6.323;0.026;30;30;34.5;2;0.003547458
CN1;0.4;2009;WINTER;43.268;10/02/2009;16;6;0.8;1.3;0.012;30;0.0662;0.804;1.163;16.162;0.111;8;30;12.7;2;0.003261084
CN1;0.4;2009;SUMMER;70.875;08/07/2009;18;6;6.8;3.3;0.03;7;0.223;0.166;0.109;0.105;0.026;13;28;110.4;5;0.001714066
CN1;0.4;2012;WINTER;42.771;07/02/2012;25;6;0.2;0.1;0.009;30;0.0235;0.166;0.109;0.105;0.026;6;30;3.2;2;0.001305556
CN1;0.4;2012;SPRING;57.003;22/05/2012;26;6;2.5;2.2;0.027;9.7;0.0918;0.166;0.109;1.944;0.026;12;29;35.3;4;0.001320863
CN1;0.4;2012;SUMMER;68.57;19/07/2012;27;6;2.4;1.7;0.031;11;0.0773;1.336;0.109;2.419;0.026;6;11;11.4;2;0.000987229
CN1;0.4;2012;FALL;55.749;01/11/2012;28;6;1.1;5.5;0.008;NA;0.1326;0.873;0.444;8.202;0.06;10;29;11.2;1;0.003735211
CN1;0.4;2014;FALL;57.609;23/10/2014;33;6;0.9;1.7;0.023;29;0.04;4.573;0.569;3.919;0.026;12;29;18.1;2;0.001374263
CN2;-0.08;2006;SPRING;60.412;10/05/2006;4;6;6;2.8;0.024;14.5;0.2544;NA;NA;NA;NA;30;29;61;2;0.001619351
CN2;-0.08;2006;SUMMER;72.76;12/07/2006;5;6;12.4;9.7;0.014;10;0.8602;6.513;0.174;4.178;0.395;27;30;120;3;0.002735135
CN2;-0.08;2006;FALL;57.373;23/10/2006;6;6;3.4;7.8;0.015;27;0.2287;NA;NA;NA;NA;24;27;14;1;0.002584181
CN2;-0.08;2007;WINTER;44.395;04/02/2007;7;6;4.5;2.3;0.012;16;0.37;NA;NA;NA;NA;29;32;43.5;3;0.003318386
CN2;-0.08;2007;SPRING;57.63;02/05/2007;8;6;5;1.7;0.015;14;0.3285;0.734;0.283;0.516;0.227;26;28;83;3;0.001904348
CN2;-0.08;2007;SUMMER;69.567;30/06/2007;9;6;13.8;9.6;0.022;10.3;0.6165;1.719;0.109;0.605;0.248;30;31;165.3;4;0.002533909
CN2;-0.08;2008;WINTER;48.163;24/01/2008;11;6;2.1;3.5;0.015;29;0.1389;0.166;0.229;0.5;0.026;26;29;26.2;2;0.002596262
CN2;-0.08;2008;SPRING;57.199;29/04/2008;12;6;5.8;3.1;0.019;28;0.3105;1.136;1.022;0.46;0.411;22;28;78.3;2;0.002147303
CN2;-0.08;2008;SUMMER;68.568;16/07/2008;13;6;9.6;8.7;0.022;13.5;0.4356;0.859;0.468;0.23;0.237;25;27;101.5;3;0.002454085
CN2;-0.08;2009;SPRING;58.691;09/05/2009;16;6;3.6;1.8;0.02;14;0.1784;1.663;0.815;0.867;0.026;23;28;70;3;0.001700667
CN2;-0.08;2009;SUMMER;70.875;08/07/2009;17;6;11.7;15.1;0.029;13;0.4028;0.166;0.109;0.105;0.026;25;26;116;3;0.002602067
CN2;-0.08;2009;FALL;56.643;11/11/2009;18;6;4;4;0.013;28;0.3012;0.166;0.167;1.637;0.059;21;28;37.3;2;0.003466053
CN2;-0.08;2010;WINTER;48.213;10/02/2010;19;6;2.6;0.9;0.013;14;0.1987;5.737;1.435;24.597;0.026;24;28;33.5;3;0.002435049
CN2;-0.08;2010;SPRING;58.65;30/04/2010;20;6;7.6;NA;0.028;7.3;0.2698;NA;NA;NA;NA;23;29;126;5;0.001751948
CN2;-0.08;2011;SUMMER;70.903;01/07/2011;23;6;3.9;6.3;0.018;14.5;0.2154;0.166;0.109;1.653;0.026;25;29;55.4;3;0.002014967
CN2;-0.08;2012;SUMMER;68.57;19/07/2012;26;6;9.2;6.7;0.025;9.7;0.3755;1.336;0.109;2.419;0.026;22;29;133;4;0.002012326
CN2;-0.08;2012;FALL;55.749;01/11/2012;27;6;1.6;5.4;0.009;29;0.1752;0.873;0.444;8.202;0.06;22;29;25.9;2;0.002179104
CN2;-0.08;2013;WINTER;44.21;12/02/2013;28;6;0.5;0.2;0.003;28;0.1912;0.932;0.188;3.968;0.026;25;28;15.6;2;0.002429479
CN2;-0.08;2013;SPRING;56.744;11/05/2013;29;6;5.7;2.7;0.013;32;0.4553;0.431;0.288;11.558;0.033;25;32;61.5;2;0.002231863
CN3;-0.5;2006;SPRING;60.412;10/05/2006;5;6;11.6;4;0.018;14;0.6335;NA;NA;NA;NA;37;28;138.5;3;0.002077049
CN3;-0.5;2007;WINTER;44.395;04/02/2007;8;6;5.2;2.7;0.016;14.5;0.316;NA;NA;NA;NA;40;29;64;3;0.003464912
CN3;-0.5;2007;SPRING;57.63;02/05/2007;9;6;6.9;3.9;0.022;10;0.3193;0.734;0.283;0.516;0.227;39;30;128.5;5;0.001634921
CN3;-0.5;2007;FALL;55.583;14/10/2007;11;6;5.5;6.9;0.013;33;0.44;1.081;0.935;3;0.074;39;33;61.5;2;0.002875817
CN3;-0.5;2008;SUMMER;68.568;16/07/2008;14;6;12.8;9.1;0.022;8.7;0.5796;0.859;0.468;0.23;0.237;32;26;199.7;4;0.001874515
CN3;-0.5;2009;WINTER;43.268;10/02/2009;16;6;0.6;0.4;0.004;28;0.1479;0.804;1.163;16.162;0.111;35;28;16.9;2;0.002234139
CN3;-0.5;2009;SPRING;58.691;09/05/2009;17;6;1.8;3;0.015;31;0.121;1.663;0.815;0.867;0.026;34;31;46.7;2;0.001331133
CN3;-0.5;2009;SUMMER;70.875;08/07/2009;18;6;15.6;12.8;0.028;9.3;0.5672;0.166;0.109;0.105;0.026;33;28;157.2;4;0.00276818
CN3;-0.5;2010;FALL;54.595;24/10/2010;23;6;4.3;6.5;0.01;31;0.4113;1.064;0.315;1.476;0.026;35;31;38.9;2;0.002807509
CN3;-0.5;2011;SUMMER;70.903;01/07/2011;26;6;10.1;7.5;0.02;14.5;0.4932;0.166;0.109;1.653;0.026;34;29;158.1;3;0.001877427
CN3;-0.5;2012;WINTER;42.771;07/02/2012;28;6;1.8;0.9;0.005;30;0.396;0.166;0.109;0.105;0.026;35;30;8.1;2;0.004074074
CN3;-0.5;2012;SPRING;57.003;22/05/2012;29;6;9.2;6.4;0.03;7.3;0.3106;0.166;0.109;1.944;0.026;32;29;139.7;5;0.001805814
CN1;0.4;2012;WINTER;42.771;07/02/2012;25;5;0.3;0.2;0.01;30;0.0299;0.166;0.109;0.105;0.026;15;30;5;2;0.001359091
CN1;0.4;2006;WINTER;43.916;14/02/2006;4;5;0.3;0.1;0.008;30;0.0389;NA;NA;NA;NA;8;30;10;2;0.001288079
CN1;0.4;2006;FALL;57.373;23/10/2006;7;5;0.7;0.9;0.016;26;0.0428;NA;NA;NA;NA;12;26;19.3;2;0.000979405
CN1;0.4;2007;WINTER;44.395;04/02/2007;8;5;0.6;0.3;0.008;NA;0.0762;NA;NA;NA;NA;8;28;6;1;0.002309091
CN1;0.4;2008;WINTER;48.163;24/01/2008;12;5;0.5;1.1;0.019;30;0.0264;0.166;0.229;0.5;0.026;15;30;10.5;2;0.001703226
CN1;0.4;2008;FALL;50.031;29/10/2008;15;5;4.6;3.7;0.014;30;0.3342;1.525;0.956;6.323;0.026;29;30;32.8;2;0.00385023
CN1;0.4;2009;WINTER;43.268;10/02/2009;16;5;0.8;0.4;0.014;30;0.0559;0.804;1.163;16.162;0.111;6;30;7.6;2;0.001601719
CN1;0.4;2009;SUMMER;70.875;08/07/2009;18;5;2.9;3.6;0.03;14;0.0951;0.166;0.109;0.105;0.026;11;28;70.7;3;0.001155529
CN1;0.4;2011;FALL;55.175;14/10/2011;24;5;0.4;0.9;0.016;28;0.0254;0.707;0.253;2.653;0.085;13;28;7;2;0.000841934
CN1;0.4;2012;WINTER;42.771;07/02/2012;25;5;0.2;0;0.004;30;0.045;0.166;0.109;0.105;0.026;5;30;3.5;2;0.001691729
CN1;0.4;2012;SPRING;57.003;22/05/2012;26;5;2.3;0.5;0.026;9.7;0.0875;0.166;0.109;1.944;0.026;11;29;57.2;4;0.000994318
CN1;0.4;2012;SUMMER;68.57;19/07/2012;27;5;2.2;1.8;0.016;14.5;0.1419;1.336;0.109;2.419;0.026;5;29;39.4;3;0.001501587
CN1;0.4;2012;FALL;55.749;01/11/2012;28;5;0.8;6.6;0.008;NA;0.1056;0.873;0.444;8.202;0.06;9;29;9.9;1;0.002422018
CN1;0.4;2013;WINTER;44.21;12/02/2013;29;5;0.8;1.9;0.015;27;0.0547;0.932;0.188;3.968;0.026;15;27;9;2;0.002642512
CN1;0.4;2014;FALL;57.609;23/10/2014;33;5;NA;0.3;NA;29;0.0091;4.573;0.569;3.919;0.026;10;29;5.9;2;0.00048356
CN2;-0.08;2006;WINTER;43.916;14/02/2006;3;5;1.7;7.3;0.015;28;0.1101;NA;NA;NA;NA;29;28;18.1;2;0.003783505
CN2;-0.08;2006;SPRING;60.412;10/05/2006;4;5;5.1;5.9;0.024;14.5;0.2132;NA;NA;NA;NA;27;29;48.9;3;0.001634969
CN2;-0.08;2006;SUMMER;72.76;12/07/2006;5;5;9.7;4.6;0.02;15;0.4938;6.513;0.174;4.178;0.395;26;30;104;2;0.002119313
CN2;-0.08;2006;FALL;57.373;23/10/2006;6;5;2.7;8;0.01;28;0.2692;NA;NA;NA;NA;23;28;40.9;2;0.001903819
CN2;-0.08;2007;WINTER;44.395;04/02/2007;7;5;1;2;0.005;32;0.2002;NA;NA;NA;NA;28;32;14.5;2;0.003033333
CN2;-0.08;2007;SPRING;57.63;02/05/2007;8;5;9.2;2;0.017;9.3;0.5469;0.734;0.283;0.516;0.227;25;28;103.5;5;0.002667805
CN2;-0.08;2007;SUMMER;69.567;30/06/2007;9;5;9;5.6;0.026;10.3;0.3506;1.719;0.109;0.605;0.248;28;31;147.2;4;0.001898213
CN2;-0.08;2007;FALL;55.583;14/10/2007;10;5;4.2;7.3;0.019;30;0.2252;1.081;0.935;3;0.074;30;30;56.8;2;0.002358115
CN2;-0.08;2008;WINTER;48.163;24/01/2008;11;5;2.1;1.6;0.012;29;0.1723;0.166;0.229;0.5;0.026;25;29;25.1;2;0.002396384
CN2;-0.08;2008;SPRING;57.199;29/04/2008;12;5;4.6;5;0.021;28;0.219;1.136;1.022;0.46;0.411;21;28;65.7;2;0.001793612
CN2;-0.08;2008;SUMMER;68.568;16/07/2008;13;5;6.5;6.7;0.027;13.5;0.244;0.859;0.468;0.23;0.237;23;27;107;3;0.001700348
CN2;-0.08;2009;WINTER;43.268;10/02/2009;15;5;1.1;0.4;0.009;29;0.1193;0.804;1.163;16.162;0.111;25;29;14.5;2;0.002343811
CN2;-0.08;2009;SPRING;58.691;09/05/2009;16;5;3.2;2.8;0.02;28;0.1577;1.663;0.815;0.867;0.026;22;28;62.4;2;0.001384548
CN2;-0.08;2009;SUMMER;70.875;08/07/2009;17;5;10.4;9.3;0.02;13;0.5135;0.166;0.109;0.105;0.026;23;26;126;3;0.002554726
CN2;-0.08;2009;FALL;56.643;11/11/2009;18;5;1.7;2.8;0.011;28;0.15;0.166;0.167;1.637;0.059;20;28;18.5;2;0.002463054
CN2;-0.08;2010;WINTER;48.213;10/02/2010;19;5;2.3;2.7;0.018;28;0.1309;5.737;1.435;24.597;0.026;23;28;22.2;2;0.002633803
CN2;-0.08;2010;SPRING;58.65;30/04/2010;20;5;8;3.1;0.025;9.7;0.3218;NA;NA;NA;NA;22;29;104.5;3;0.00222699
CN2;-0.08;2011;SUMMER;70.903;01/07/2011;23;5;1.9;3.2;0.027;9.7;0.0696;0.166;0.109;1.653;0.026;24;29;44.9;4;0.00126776
CN2;-0.08;2012;SUMMER;68.57;19/07/2012;26;5;10.7;8.6;0.022;14.5;0.4863;1.336;0.109;2.419;0.026;21;29;134.8;3;0.002267133
CN2;-0.08;2013;WINTER;44.21;12/02/2013;28;5;2;0.7;0.01;28;0.2084;0.932;0.188;3.968;0.026;24;28;21.4;2;0.002492823
CN2;-0.08;2013;SPRING;56.744;11/05/2013;29;5;8.3;1.4;0.015;16;0.5658;0.431;0.288;11.558;0.033;24;32;113.8;3;0.002274116
CN3;-0.5;2006;SPRING;60.412;10/05/2006;5;5;4;8.9;0.02;28;0.1965;NA;NA;NA;NA;36;28;46;2;0.001819444
CN3;-0.5;2006;FALL;57.373;23/10/2006;7;5;3.9;7.9;0.014;28;0.2866;NA;NA;NA;NA;34;28;47.5;2;0.001763692
CN3;-0.5;2007;WINTER;44.395;04/02/2007;8;5;2.3;7.6;0.008;29;0.3061;NA;NA;NA;NA;39;29;28;2;0.003732927
CN3;-0.5;2007;SPRING;57.63;02/05/2007;9;5;9.8;8.2;0.025;10;0.3988;0.734;0.283;0.516;0.227;38;30;175;4;0.001989027
CN3;-0.5;2007;SUMMER;69.567;30/06/2007;10;5;10.7;9.7;0.02;16;0.5405;1.719;0.109;0.605;0.248;40;32;82.8;3;0.002991146
CN3;-0.5;2007;FALL;55.583;14/10/2007;11;5;6.6;8;0.014;33;0.4858;1.081;0.935;3;0.074;38;33;80;2;0.002849267
CN3;-0.5;2008;SPRING;57.199;29/04/2008;13;5;8.3;2.1;0.021;29;0.3869;1.136;1.022;0.46;0.411;35;29;94.7;4;0.00181133
CN3;-0.5;2008;SUMMER;68.568;16/07/2008;14;5;13;8.9;0.023;13;0.5652;0.859;0.468;0.23;0.237;31;26;161.3;3;0.00208792
CN3;-0.5;2009;WINTER;43.268;10/02/2009;16;5;2.5;0.6;0.011;28;0.2363;0.804;1.163;16.162;0.111;34;28;24.3;2;0.002939055
CN3;-0.5;2009;SPRING;58.691;09/05/2009;17;5;1.6;5.6;0.013;15.5;0.1233;1.663;0.815;0.867;0.026;33;31;31.8;3;0.00159715
CN3;-0.5;2009;SUMMER;70.875;08/07/2009;18;5;9.9;4.1;0.016;14;0.6245;0.166;0.109;0.105;0.026;32;28;100.5;3;0.002515103
CN3;-0.5;2010;SPRING;58.65;30/04/2010;21;5;8.5;3.4;0.023;14.5;0.3627;NA;NA;NA;NA;34;29;68;3;0.001893995
CN3;-0.5;2010;SUMMER;74.023;13/07/2010;22;5;13.6;13.8;0.026;10;0.525;0.166;0.109;0.105;0.026;32;30;178.4;4;0.002273712
CN3;-0.5;2010;FALL;54.595;24/10/2010;23;5;3;7.8;0.011;31;0.2847;1.064;0.315;1.476;0.026;32;31;29.8;2;0.002932029
CN3;-0.5;2011;SUMMER;70.903;01/07/2011;26;5;16.8;6.9;0.023;14.5;0.742;0.166;0.109;1.653;0.026;33;29;160;3;0.002445616
CN3;-0.5;2011;FALL;55.175;14/10/2011;27;5;2.5;10;0.013;28;0.1952;0.707;0.253;2.653;0.085;34;28;37.6;2;0.00231829
CN3;-0.5;2012;WINTER;42.771;07/02/2012;28;5;0.3;NA;0.002;30;0.1808;0.166;0.109;0.105;0.026;31;30;6;2;0.003033557
CN3;-0.5;2012;SPRING;57.003;22/05/2012;29;5;10.3;2.6;0.022;14.5;0.4632;0.166;0.109;1.944;0.026;31;29;145;6;0.00183215
CN3;-0.5;2012;FALL;55.749;01/11/2012;31;5;7;24.6;0.019;29;0.3646;0.873;0.444;8.202;0.06;35;29;57.4;2;0.003502402
CN1;0.4;2012;WINTER;42.771;07/02/2012;25;4;0.2;0;0.007;30;0.0297;0.166;0.109;0.105;0.026;14;30;5.5;2;0.001253165
CN1;0.4;2006;WINTER;43.916;14/02/2006;4;4;0.7;0.9;0.015;30;0.0464;NA;NA;NA;NA;5;30;12.5;2;0.001886179
CN1;0.4;2006;SUMMER;72.76;12/07/2006;6;4;3.6;2.6;0.029;9.7;0.1224;6.513;0.174;4.178;0.395;15;29;67.3;3;0.001543537
CN1;0.4;2006;FALL;57.373;23/10/2006;7;4;0.8;2.2;0.018;13;0.0448;NA;NA;NA;NA;9;26;18.7;3;0.001417722
CN1;0.4;2007;WINTER;44.395;04/02/2007;8;4;0.3;0.1;0.008;28;0.0376;NA;NA;NA;NA;7;28;6;2;0.001989418
CN1;0.4;2007;SUMMER;69.567;30/06/2007;10;4;4.4;2;0.03;9.3;0.1475;1.719;0.109;0.605;0.248;12;28;103.7;4;0.0012031
CN1;0.4;2008;WINTER;48.163;24/01/2008;12;4;0.6;0.8;0.017;30;0.0345;0.166;0.229;0.5;0.026;13;30;10.4;2;0.001526549
CN1;0.4;2008;SPRING;57.199;29/04/2008;13;4;1.4;0.9;0.029;14;0.0484;1.136;1.022;0.46;0.411;15;28;35;3;0.001063736
CN1;0.4;2008;FALL;50.031;29/10/2008;15;4;1.9;6.4;0.008;28;0.2428;1.525;0.956;6.323;0.026;27;28;29.1;2;0.002813441
CN1;0.4;2009;WINTER;43.268;10/02/2009;16;4;1.4;0.7;0.01;30;0.1387;0.804;1.163;16.162;0.111;5;30;17;2;0.002441901
CN1;0.4;2009;SPRING;58.691;09/05/2009;17;4;6.2;1.5;0.024;10.7;0.2542;1.663;0.815;0.867;0.026;10;32;100.9;4;0.001777622
CN1;0.4;2009;SUMMER;70.875;08/07/2009;18;4;5.2;1.5;0.023;9.3;0.2279;0.166;0.109;0.105;0.026;7;28;92.3;4;0.00155034
CN1;0.4;2009;FALL;56.643;11/11/2009;19;4;0.6;3.1;0.015;30;0.0388;0.166;0.167;1.637;0.059;15;30;12.5;2;0.00191133
CN1;0.4;2011;FALL;55.175;14/10/2011;24;4;0.9;1.2;0.017;14;0.0516;0.707;0.253;2.653;0.085;11;28;24.3;3;0.001231504
CN1;0.4;2012;WINTER;42.771;07/02/2012;25;4;0.3;1.1;0.011;30;0.0273;0.166;0.109;0.105;0.026;4;30;5.1;2;0.001844595
CN1;0.4;2012;SPRING;57.003;22/05/2012;26;4;2.1;0.8;0.024;14.5;0.0879;0.166;0.109;1.944;0.026;9;29;36.5;3;0.001515517
CN1;0.4;2012;SUMMER;68.57;19/07/2012;27;4;1.1;1.4;0.008;29;0.1453;1.336;0.109;2.419;0.026;4;29;26.4;2;0.001340406
CN1;0.4;2012;FALL;55.749;01/11/2012;28;4;1.5;5.8;0.014;29;0.1035;0.873;0.444;8.202;0.06;8;29;20;2;0.002401392
CN1;0.4;2013;WINTER;44.21;12/02/2013;29;4;0.4;0.9;0.011;27;0.036;0.932;0.188;3.968;0.026;14;27;7;2;0.002465753
CN1;0.4;2013;SPRING;56.744;11/05/2013;30;4;0.4;0.2;0.008;NA;0.0491;0.431;0.288;11.558;0.033;11;32;5.5;1;0.000900917
CN1;0.4;2014;FALL;57.609;23/10/2014;33;4;0.7;1.6;0.024;14.5;0.0294;4.573;0.569;3.919;0.026;5;29;20.5;3;0.001199766
CN2;-0.08;2006;WINTER;43.916;14/02/2006;3;4;1.4;11.1;0.009;28;0.1627;NA;NA;NA;NA;28;28;8.7;2;0.005165079
CN2;-0.08;2006;SPRING;60.412;10/05/2006;4;4;9.4;6.7;0.027;9.7;0.3428;NA;NA;NA;NA;26;29;133.5;4;0.001878356
CN2;-0.08;2006;SUMMER;72.76;12/07/2006;5;4;3.1;0.8;0.021;15;0.1455;6.513;0.174;4.178;0.395;25;30;64.9;2;0.001239353
CN2;-0.08;2006;FALL;57.373;23/10/2006;6;4;2.4;5.4;0.012;27;0.2067;NA;NA;NA;NA;21;27;58.5;2;0.001922791
CN2;-0.08;2007;WINTER;44.395;04/02/2007;7;4;0.2;2.4;0.002;NA;0.0924;NA;NA;NA;NA;27;32;1.5;1;0.003132203
CN2;-0.08;2007;SPRING;57.63;02/05/2007;8;4;6.7;3.3;0.016;14;0.4122;0.734;0.283;0.516;0.227;24;28;98.5;3;0.00194434
